Provincia,Partido,Localidad,Población,Adsl,Cablemódem,Dial Up,Fibra Óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
Cordoba,Santa María,La Rancherita,129,0,0,0,0,0,1,0,0,0,14147170,-31,-64
Cordoba,Santa María,La Serranita,430,0,0,0,0,0,1,1,1,1,14147180,-31,-64
Cordoba,Santa María,Los Cedros - Las Quintas,1069,0,0,0,0,0,0,1,1,1,14147190,-31,-64
Cordoba,Santa María,Lozada,1013,0,0,0,0,0,1,1,1,1,14147200,-31,-64
Cordoba,Santa María,Malagueño,7136,1,0,0,1,0,1,1,1,1,14147210,-31,-64
Cordoba,Santa María,Mi Valle,0,0,0,0,0,0,0,0,0,0,14147220,-31,-64
Cordoba,Santa María,Milenica,0,0,0,0,0,0,0,0,1,1,14147217,-31,-64
Formosa,Pirané,Pirané,20335,0,0,0,1,1,1,0,1,1,34056040,-25,-59
Formosa,Pirané,Villa Kilómetro 213,4675,0,0,0,0,0,1,1,0,1,34056050,-26,-59
Formosa,Ramón Lista,El Potrillo,3371,0,0,0,0,0,1,0,0,0,34063010,-23,-62
Formosa,Ramón Lista,El Quebracho,415,0,0,0,0,0,1,0,0,0,34063030,-23,-61
Formosa,Ramón Lista,General Mosconi,1902,0,0,0,1,1,1,1,0,0,34063020,-23,-62
Jujuy,Cochinoca,Abdón Castro Tolay,279,0,0,0,0,0,0,0,0,0,38007010,-23,-66
Jujuy,Cochinoca,Abra Pampa,8705,0,0,0,0,1,1,1,0,1,38007020,-22,-65
Jujuy,Cochinoca,Abralaite,56,0,0,0,0,0,0,1,0,0,38007030,-23,-65
Jujuy,Cochinoca,Agua De Castilla,96,0,0,0,0,0,0,0,0,0,38007035,-23,-65
Jujuy,Cochinoca,Casabindo,118,0,0,0,0,0,0,0,0,0,38007040,-22,-66
Jujuy,Cochinoca,Cochinoca,67,0,0,0,0,0,0,0,0,0,38007050,-22,-65
Jujuy,Cochinoca,La Redonda,45,0,0,0,0,1,0,0,0,0,38007055,-22,-65
Jujuy,Cochinoca,Puesto Del Marquéz,255,0,0,0,1,0,0,0,0,1,38007060,-22,-65
Jujuy,Cochinoca,Quebraleña,53,0,0,0,0,0,0,0,0,0,38007063,-23,-65
Jujuy,Cochinoca,Quera,34,0,0,0,0,0,0,0,0,0,38007067,-23,-65
Jujuy,Cochinoca,Rinconadillas,189,0,0,0,0,0,0,0,0,0,38007070,-23,-65
Jujuy,Cochinoca,San Francisco De Alfarcito,169,0,0,0,0,0,0,0,0,0,38007080,-23,-65
Jujuy,Cochinoca,Santa Ana De La Puna,41,0,0,0,0,0,0,0,0,0,38007085,-23,-66
Jujuy,Cochinoca,Santuario De Tres Pozos,152,0,0,0,0,0,0,0,0,0,38007090,-23,-65
Jujuy,Cochinoca,Tambillos,122,0,0,0,0,0,0,0,0,0,38007095,-22,-65
Jujuy,Cochinoca,Tusaquillas,134,0,0,0,0,0,0,0,0,0,38007100,-23,-65
Jujuy,Doctor Manuel Belgrano,Dr. Manuel Belgrano,82,0,0,0,1,1,1,0,0,0,38021065,-23,-65
Jujuy,Doctor Manuel Belgrano,Guerrero,518,1,1,0,1,0,0,1,1,1,38021010,-24,-65
Jujuy,Doctor Manuel Belgrano,La Almona,42,0,1,0,1,0,0,0,0,0,38021020,-24,-65
Jujuy,Doctor Manuel Belgrano,León,630,0,1,0,0,1,0,0,0,0,38021030,-24,-65
Jujuy,Doctor Manuel Belgrano,Lozano (Ap. Chañi),1388,0,0,0,0,0,1,1,1,1,38021040,-24,-65
Jujuy,Doctor Manuel Belgrano,Ocloyas,70,0,0,0,0,0,0,0,0,0,38021050,-23,-65
Jujuy,Doctor Manuel Belgrano,San Pablo De Reyes,0,0,0,0,0,0,0,0,0,0,38021050,-24,-65
Jujuy,Doctor Manuel Belgrano,San Salvador De Jujuy (Est. Jujuy),257970,1,1,0,1,1,1,1,1,1,38021060,-24,-65
Jujuy,Doctor Manuel Belgrano,Yala,1953,0,0,0,0,1,1,1,1,1,38021070,-24,-65
Jujuy,El Carmen,Aguas Calientes,2563,0,0,0,0,0,1,0,0,0,38014010,-24,-64
Jujuy,El Carmen,Barrio El Milagro,1321,0,0,0,0,0,0,0,0,0,38014020,-24,-65
Jujuy,El Carmen,Barrio La Unión,700,0,0,0,0,0,0,1,0,0,38014030,-24,-65
Jujuy,El Carmen,El Carmen,13623,1,1,0,1,1,1,1,1,1,38014040,-24,-65
Jujuy,El Carmen,Fleming,0,0,0,0,0,0,0,0,1,1,38014040,-24,-64
Jujuy,El Carmen,Los Lapachos (Est. Maquinista Verón),864,0,0,0,0,0,0,0,1,1,38014050,-24,-65
